01:52:25.566 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
01:52:27.869 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
01:52:27.869 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
01:52:28.947 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
01:52:28.948 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
01:52:28.985 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
01:52:28.986 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
01:52:29.112 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
01:52:29.112 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
01:52:29.143 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
01:52:29.143 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
01:52:29.258 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
01:52:29.258 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
01:52:29.290 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
01:52:29.291 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
01:52:29.727 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
01:52:29.727 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
01:52:30.028 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
01:52:30.028 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
01:52:30.101 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
01:52:30.102 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
01:52:30.153 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
01:52:30.155 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
01:52:30.213 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
01:52:30.213 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
01:52:30.290 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
01:52:30.291 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
01:52:30.356 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
01:52:30.357 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
01:52:30.399 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
01:52:30.399 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
01:52:30.455 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
01:52:30.455 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
01:52:30.539 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
01:52:30.539 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
01:52:30.634 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
01:52:30.634 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
01:52:30.688 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
01:52:30.689 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
01:52:30.716 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
01:52:30.716 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
01:52:30.750 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
01:52:30.750 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
01:52:30.778 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
01:52:30.779 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
01:52:30.813 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
01:52:30.813 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
01:52:30.842 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
01:52:30.842 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
01:52:30.882 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
01:52:30.886 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
01:52:30.919 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
01:52:30.920 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Logout button"
01:52:31.119 | 💡 INFO     | BASE_COMPONENT | Checking that current url matches pattern: .*/#/auth/login
01:52:31.209 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
01:52:31.210 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
01:52:31.376 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
01:52:31.376 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
01:52:31.471 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
01:52:31.471 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
01:52:31.585 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
01:52:31.586 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
01:52:31.609 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
01:52:31.609 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
01:52:31.938 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
01:52:31.939 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
01:52:31.984 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
01:52:31.985 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
01:52:32.022 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
01:52:32.023 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
01:52:32.065 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
01:52:32.065 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
01:52:32.130 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
01:52:32.131 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
01:52:32.186 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
01:52:32.186 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
01:52:32.232 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
01:52:32.232 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
01:52:32.268 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
01:52:32.269 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
01:52:32.317 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
01:52:32.317 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
01:52:32.366 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
01:52:32.367 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
01:52:32.398 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
01:52:32.398 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
01:52:32.485 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
01:52:32.485 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
01:52:32.556 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
01:52:32.556 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
01:52:32.625 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
01:52:32.625 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
01:52:32.675 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
01:52:32.675 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
01:52:32.697 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
01:52:32.697 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
01:52:32.725 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
01:52:32.725 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
01:52:32.770 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
01:52:32.770 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
