01:52:49.226 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
01:52:50.200 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
01:52:50.204 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
01:52:50.809 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
01:52:50.809 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
01:52:50.830 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
01:52:50.831 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
01:52:50.853 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
01:52:50.853 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
01:52:50.879 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
01:52:50.879 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
01:52:50.906 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
01:52:50.907 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
01:52:50.939 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
01:52:50.939 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
01:52:50.956 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
01:52:50.956 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
01:52:50.977 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
01:52:50.977 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
01:52:50.996 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
01:52:50.996 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
01:52:51.022 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
01:52:51.025 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
01:52:51.055 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
01:52:51.055 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
01:52:51.077 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
01:52:51.078 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
01:52:51.113 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
01:52:51.114 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
01:52:51.131 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
01:52:51.132 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" is visible
01:52:51.156 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
01:52:51.156 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" has text: "Exercises"
01:52:51.183 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-create-exercise-button" at index "0"
01:52:51.184 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create exercise" is visible
01:52:51.207 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-icon" at index "0"
01:52:51.207 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
01:52:51.238 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
01:52:51.238 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
01:52:51.256 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
01:52:51.256 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no exercises"
01:52:51.272 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
01:52:51.272 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
01:52:51.281 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
01:52:51.281 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Click on "Create exercise" button to create new exercise"
01:52:51.290 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
01:52:51.290 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
01:52:51.328 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
01:52:51.328 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
01:52:51.556 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
01:52:51.556 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
01:52:51.594 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-icon" at index "0"
01:52:51.594 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Image upload info icon" is visible
01:52:51.618 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
01:52:51.618 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" is visible
01:52:51.646 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
01:52:51.646 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" has text: "Tap on "Upload image" button to select file"
01:52:51.678 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
01:52:51.678 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" is visible
01:52:51.714 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
01:52:51.714 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" has text: "Recommended file size 540X300"
01:52:51.801 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-upload-button" at index "0"
01:52:51.801 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Upload image" is visible
01:52:51.823 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
01:52:51.823 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
01:52:51.840 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
01:52:51.840 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
01:52:51.878 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
01:52:51.879 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
