01:52:10.963 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
01:52:12.038 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
01:52:12.039 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
01:52:12.201 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
01:52:12.201 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
01:52:12.209 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
01:52:12.209 | 💡 INFO     | INPUT          | Filling input "Password" with value: "  "
01:52:12.300 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
01:52:12.301 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "  "
01:52:12.313 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
01:52:12.313 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
01:52:12.398 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
01:52:12.399 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
01:52:12.415 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
01:52:12.416 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
