01:52:37.522 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
01:52:38.514 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
01:52:38.518 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
01:52:38.844 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
01:52:38.845 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
01:52:38.880 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
01:52:38.880 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
01:52:38.949 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
01:52:38.950 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
01:52:38.957 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
01:52:38.958 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
01:52:39.011 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
01:52:39.011 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
01:52:39.025 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
01:52:39.025 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
01:52:39.191 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
01:52:39.998 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses
01:52:41.582 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
01:52:41.582 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
01:52:41.883 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
01:52:41.883 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
01:52:41.892 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
01:52:41.892 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
