01:52:37.218 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
01:52:39.490 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
01:52:39.490 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
01:52:40.048 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
01:52:40.049 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
01:52:40.121 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
01:52:40.122 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
01:52:40.381 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
01:52:40.382 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
01:52:40.564 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
01:52:40.564 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
01:52:40.693 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
01:52:40.693 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
01:52:40.920 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
01:52:40.921 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
01:52:42.047 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
01:52:42.047 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
01:52:42.538 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
01:52:42.539 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
