01:53:08.177 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/dashboard
01:53:08.867 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
01:53:08.868 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
01:53:09.059 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
01:53:09.060 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
01:53:09.081 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
01:53:09.081 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
01:53:09.093 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
01:53:09.093 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
01:53:09.107 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
01:53:09.107 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
01:53:09.123 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
01:53:09.123 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
01:53:09.137 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
01:53:09.137 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
01:53:09.155 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
01:53:09.155 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
01:53:09.169 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
01:53:09.170 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
01:53:09.179 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
01:53:09.179 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
01:53:09.193 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
01:53:09.193 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
01:53:09.209 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
01:53:09.209 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
01:53:09.223 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
01:53:09.224 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
01:53:09.239 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
01:53:09.239 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
01:53:09.255 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
01:53:09.255 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
01:53:09.266 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
01:53:09.267 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
01:53:09.278 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
01:53:09.278 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
01:53:09.292 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
01:53:09.292 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
01:53:09.303 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-widget-title-text" at index "0"
01:53:09.303 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
01:53:09.312 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-widget-title-text" at index "0"
01:53:09.312 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Courses"
01:53:09.326 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-pie-chart" at index "0"
01:53:09.326 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Chart" is visible
01:53:09.339 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: scores-widget-title-text" at index "0"
01:53:09.339 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
01:53:09.351 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: scores-widget-title-text" at index "0"
01:53:09.352 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Scores"
01:53:09.359 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: scores-scatter-chart" at index "0"
01:53:09.359 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Chart" is visible
01:53:09.370 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: activities-widget-title-text" at index "0"
01:53:09.370 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
01:53:09.378 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: activities-widget-title-text" at index "0"
01:53:09.378 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Activities"
01:53:09.387 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: activities-line-chart" at index "0"
01:53:09.387 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Chart" is visible
01:53:09.395 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: students-widget-title-text" at index "0"
01:53:09.395 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
01:53:09.404 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: students-widget-title-text" at index "0"
01:53:09.404 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Students"
01:53:09.411 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: students-bar-chart" at index "0"
01:53:09.411 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Chart" is visible
