01:52:08.206 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
01:52:09.472 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
01:52:09.473 | 💡 INFO     | INPUT          | Filling input "Email" with value: "  "
01:52:09.857 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
01:52:09.857 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "  "
01:52:09.897 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
01:52:09.897 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
01:52:09.986 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
01:52:09.986 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
01:52:10.000 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
01:52:10.001 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
01:52:10.177 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
01:52:10.177 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
01:52:10.205 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
01:52:10.205 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
