12:27:56.646 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
12:27:58.679 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
12:27:58.680 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
12:27:59.611 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
12:27:59.612 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
12:27:59.650 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:27:59.651 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
12:27:59.716 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:27:59.716 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
12:27:59.748 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
12:27:59.749 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
12:27:59.774 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
12:27:59.774 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
12:27:59.784 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
12:27:59.784 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
12:27:59.792 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
12:27:59.792 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
12:27:59.801 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
12:27:59.801 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
