12:27:29.717 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
12:27:31.912 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
12:27:31.912 | 💡 INFO     | INPUT          | Filling input "Email" with value: "  "
12:27:32.366 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
12:27:32.366 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "  "
12:27:32.412 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
12:27:32.412 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
12:27:32.636 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
12:27:32.637 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
12:27:32.715 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
12:27:32.716 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
12:27:32.945 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
12:27:32.945 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
12:27:32.969 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
12:27:32.969 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
