12:27:39.992 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
12:27:41.187 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
12:27:41.189 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
12:27:41.882 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
12:27:41.883 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
12:27:41.933 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
12:27:41.933 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
12:27:42.105 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
12:27:42.105 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
12:27:42.176 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
12:27:42.176 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
12:27:42.352 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
12:27:42.352 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
12:27:42.515 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
12:27:42.515 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
12:27:42.814 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
12:27:42.814 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
12:27:43.470 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
12:27:43.471 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
