12:27:19.427 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
12:27:21.176 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
12:27:21.176 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
12:27:21.491 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
12:27:21.493 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
12:27:21.577 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
12:27:21.577 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
12:27:21.656 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
12:27:21.656 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
12:27:21.695 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
12:27:21.695 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
12:27:22.005 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
12:27:22.005 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
12:27:22.043 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
12:27:22.043 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
