12:27:55.476 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
12:27:56.341 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
12:27:56.341 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
12:27:56.941 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
12:27:56.941 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
12:27:56.962 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
12:27:56.963 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
12:27:57.124 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
12:27:57.126 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
12:27:57.170 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
12:27:57.173 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
12:27:57.266 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
12:27:57.267 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
12:27:57.280 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
12:27:57.280 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
12:27:57.507 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
12:27:58.654 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses
12:28:00.394 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
12:28:00.394 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
12:28:00.592 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
12:28:00.592 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
12:28:00.626 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
12:28:00.626 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
12:28:00.641 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
12:28:00.642 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
12:28:00.662 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
12:28:00.662 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
12:28:00.687 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
12:28:00.688 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
12:28:00.731 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
12:28:00.731 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
12:28:00.750 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
12:28:00.751 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
12:28:00.764 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
12:28:00.764 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
12:28:00.775 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
12:28:00.777 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
12:28:00.790 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
12:28:00.790 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
12:28:00.813 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
12:28:00.813 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
12:28:00.830 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
12:28:00.830 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
12:28:00.855 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
12:28:00.855 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
12:28:00.877 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
12:28:00.877 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
12:28:00.894 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
12:28:00.894 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
12:28:00.913 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
12:28:00.913 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
12:28:00.935 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
12:28:00.935 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
12:28:00.953 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
12:28:00.953 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
12:28:00.971 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-icon" at index "0"
12:28:00.973 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
12:28:00.991 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
12:28:00.991 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
12:28:00.999 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
12:28:00.999 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no results"
12:28:01.008 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
12:28:01.008 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
12:28:01.025 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
12:28:01.025 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Results from the load test pipeline will be displayed here"
