12:27:40.270 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
12:27:41.690 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
12:27:41.690 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
12:27:41.997 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
12:27:41.998 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
12:27:42.028 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
12:27:42.028 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
12:27:42.102 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
12:27:42.102 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
12:27:42.117 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
12:27:42.117 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
12:27:42.201 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
12:27:42.201 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
12:27:42.220 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
12:27:42.221 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
12:27:42.375 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
12:27:42.376 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
12:27:42.797 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
12:27:42.797 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
