12:28:01.599 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
12:28:02.488 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
12:28:02.489 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
12:28:03.094 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
12:28:03.095 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
12:28:03.108 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:28:03.108 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
12:28:03.128 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:28:03.128 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
12:28:03.144 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
12:28:03.148 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
12:28:03.172 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
12:28:03.172 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
12:28:03.189 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
12:28:03.189 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
12:28:03.223 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
12:28:03.223 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
12:28:03.249 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
12:28:03.250 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
12:28:03.260 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
12:28:03.260 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
12:28:03.271 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
12:28:03.271 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
12:28:03.282 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
12:28:03.282 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
12:28:03.296 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
12:28:03.296 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
12:28:03.319 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
12:28:03.319 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
12:28:03.333 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
12:28:03.334 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" is visible
12:28:03.349 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
12:28:03.349 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" has text: "Exercises"
12:28:03.368 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-create-exercise-button" at index "0"
12:28:03.368 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create exercise" is visible
12:28:03.385 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-icon" at index "0"
12:28:03.385 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
12:28:03.411 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
12:28:03.411 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
12:28:03.431 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
12:28:03.431 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no exercises"
12:28:03.453 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
12:28:03.453 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
12:28:03.469 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
12:28:03.469 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Click on "Create exercise" button to create new exercise"
12:28:03.508 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
12:28:03.509 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
12:28:03.547 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
12:28:03.548 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
12:28:03.819 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
12:28:03.820 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
12:28:03.857 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-icon" at index "0"
12:28:03.858 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Image upload info icon" is visible
12:28:03.875 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
12:28:03.875 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" is visible
12:28:03.902 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
12:28:03.902 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" has text: "Tap on "Upload image" button to select file"
12:28:03.921 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
12:28:03.921 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" is visible
12:28:03.934 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
12:28:03.934 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" has text: "Recommended file size 540X300"
12:28:03.956 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-upload-button" at index "0"
12:28:03.956 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Upload image" is visible
12:28:03.970 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
12:28:03.971 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
12:28:03.993 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
12:28:03.995 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
12:28:04.029 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
12:28:04.030 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
12:28:04.312 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
12:28:04.313 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
12:28:04.342 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
12:28:04.342 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
12:28:04.430 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
12:28:04.430 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
12:28:04.466 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
12:28:04.467 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
12:28:04.597 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
12:28:04.597 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
12:28:04.613 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
12:28:04.615 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
12:28:04.843 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
12:28:04.844 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
12:28:04.892 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
12:28:04.892 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
12:28:05.043 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
12:28:05.043 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
12:28:05.075 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:28:05.075 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Create course"
12:28:05.467 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
12:28:05.467 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
12:28:05.660 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
