12:28:01.963 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
12:28:03.714 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
12:28:03.715 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
12:28:04.295 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
12:28:04.295 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
12:28:04.335 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:28:04.335 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
12:28:04.384 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:28:04.384 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
12:28:04.428 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
12:28:04.428 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
12:28:04.479 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
12:28:04.479 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
12:28:04.488 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
12:28:04.488 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
12:28:04.602 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
12:28:04.603 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
12:28:04.639 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
12:28:04.639 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
12:28:04.778 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
12:28:04.779 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
12:28:04.796 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
12:28:04.797 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
12:28:04.912 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
12:28:04.912 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
12:28:04.934 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
12:28:04.934 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
12:28:05.003 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
12:28:05.004 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
12:28:05.041 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
12:28:05.042 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
12:28:05.124 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
12:28:05.124 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
12:28:05.183 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
12:28:05.184 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
12:28:05.196 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:28:05.196 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Create course"
12:28:05.355 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-preview-image" at index "0"
12:28:05.355 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview" is visible
12:28:05.426 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
12:28:05.427 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
12:28:05.468 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
12:28:05.468 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Playwright"
12:28:05.483 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
12:28:05.483 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" is visible
12:28:05.503 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
12:28:05.503 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" has text: "Max score: 100"
12:28:05.541 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
12:28:05.541 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" is visible
12:28:05.569 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
12:28:05.569 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" has text: "Min score: 10"
12:28:05.604 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
12:28:05.605 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Estimated time" is visible
12:28:05.626 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
12:28:05.626 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Estimated time" has text: "Estimated time: 2 weeks"
12:28:05.639 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-view-menu-button" at index "0"
12:28:05.639 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Menu"
12:28:05.766 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-view-edit-menu-item" at index "0"
12:28:05.766 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Edit" is visible
12:28:05.789 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-view-edit-menu-item" at index "0"
12:28:05.789 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Edit"
12:28:06.131 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
12:28:06.132 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
12:28:06.148 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
12:28:06.148 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Update course"
12:28:06.165 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:28:06.165 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
12:28:06.177 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:28:06.177 | 💡 INFO     | BUTTON         | Checking that button "Create course" is enabled
12:28:06.190 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
12:28:06.190 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
12:28:06.202 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
12:28:06.202 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
12:28:06.215 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
12:28:06.217 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
12:28:06.230 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
12:28:06.231 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
