12:27:54.605 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
12:27:56.422 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
12:27:56.422 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
12:27:56.735 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
12:27:56.736 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
12:27:56.921 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:27:56.922 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
12:27:56.965 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:27:56.966 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
12:27:57.103 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
12:27:57.103 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
12:27:57.519 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
12:27:57.519 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
12:27:57.585 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
12:27:57.585 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
12:27:57.633 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
12:27:57.633 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Python UI Automation"
12:27:58.595 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
12:27:58.595 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Python UI Automation"
12:27:58.635 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
12:27:58.635 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "4 weeks"
12:27:58.800 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
12:27:58.800 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "4 weeks"
12:27:58.949 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
12:27:58.949 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright course"
12:27:59.341 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
12:27:59.341 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright course"
12:27:59.401 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
12:27:59.401 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
12:27:59.500 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
12:27:59.501 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
12:27:59.527 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
12:27:59.528 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
12:27:59.634 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
12:27:59.635 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
12:27:59.679 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
12:27:59.679 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
12:27:59.745 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
12:27:59.745 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
12:27:59.766 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:27:59.766 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
12:27:59.798 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:27:59.798 | 💡 INFO     | BUTTON         | Checking that button "Create course" is enabled
