12:28:16.244 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
12:28:17.376 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
12:28:17.376 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
12:28:17.587 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
12:28:17.588 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
12:28:17.606 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:28:17.606 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
12:28:17.620 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
12:28:17.621 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
12:28:17.636 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
12:28:17.636 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
12:28:17.728 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
12:28:17.728 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
12:28:17.796 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
12:28:17.797 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
12:28:17.845 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
12:28:17.845 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
12:28:17.857 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
12:28:17.857 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
12:28:17.897 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
12:28:17.897 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
12:28:17.913 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
12:28:17.913 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
12:28:17.948 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
12:28:17.948 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
12:28:17.958 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
