21:01:49.024 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:01:50.575 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:01:50.579 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:01:51.113 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:01:51.113 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:01:51.132 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:01:51.132 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:01:51.185 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:01:51.185 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:01:51.205 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-icon" at index "0"
21:01:51.206 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Image upload info icon" is visible
21:01:51.246 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
21:01:51.246 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" is visible
21:01:51.256 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
21:01:51.256 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" has text: "Tap on "Upload image" button to select file"
21:01:51.266 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
21:01:51.267 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" is visible
21:01:51.277 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
21:01:51.278 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" has text: "Recommended file size 540X300"
21:01:51.288 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-upload-button" at index "0"
21:01:51.288 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Upload image" is visible
21:01:51.300 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-empty-view-icon" at index "0"
21:01:51.300 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
21:01:51.309 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-empty-view-title-text" at index "0"
21:01:51.310 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
21:01:51.318 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-empty-view-title-text" at index "0"
21:01:51.318 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "No image selected"
21:01:51.327 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-empty-view-description-text" at index "0"
21:01:51.328 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
21:01:51.335 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-empty-view-description-text" at index "0"
21:01:51.336 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Preview of selected image will be displayed here"
21:01:51.345 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:01:51.345 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
21:01:51.356 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:01:51.356 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
21:01:51.368 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:01:51.369 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
21:01:51.378 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:01:51.378 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
21:01:51.386 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:01:51.386 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
21:01:51.399 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:01:51.399 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
