21:01:35.126 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:01:37.742 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:37.742 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:01:38.325 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:38.326 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:01:38.364 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:38.364 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:01:38.521 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:38.524 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:01:39.380 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:39.381 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:01:39.513 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:39.514 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:01:39.546 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:01:39.546 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:01:39.763 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:01:39.763 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:01:40.220 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:01:40.220 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
