21:01:42.706 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:01:43.660 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:43.660 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:01:44.054 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:44.055 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:01:44.076 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:44.076 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:01:44.153 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:44.153 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:01:44.161 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:44.161 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:01:44.199 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:44.199 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:01:44.223 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:01:44.223 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:01:44.376 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
21:01:45.136 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:01:46.826 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:01:46.827 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:01:47.178 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:01:47.179 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:01:47.240 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:01:47.240 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:01:47.272 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:01:47.272 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:01:47.291 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
21:01:47.291 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
21:01:47.393 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
