21:02:08.381 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/dashboard
21:02:09.764 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:02:09.764 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:02:10.218 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:02:10.220 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:02:10.232 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:02:10.232 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:02:10.244 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:02:10.244 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:02:10.256 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:02:10.256 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
21:02:10.266 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:02:10.266 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
21:02:10.277 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:02:10.277 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
21:02:10.286 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
21:02:10.286 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
21:02:10.294 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
21:02:10.294 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
21:02:10.306 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:02:10.307 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:02:10.314 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:02:10.314 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:02:10.324 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
21:02:10.324 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
21:02:10.332 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:02:10.332 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
21:02:10.346 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
