21:01:38.530 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:01:39.362 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:39.363 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:01:39.531 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:39.531 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:01:39.555 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:39.555 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:01:39.653 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:39.654 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:01:39.664 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:39.664 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:01:39.718 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:39.718 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:01:39.725 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:01:39.725 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:01:39.839 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
21:01:44.206 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:01:45.976 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:01:45.976 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:01:46.666 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:01:46.666 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
