21:01:53.189 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:01:53.716 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:01:53.716 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:01:53.978 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:01:53.978 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:01:53.988 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:01:53.988 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:01:53.996 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:01:53.996 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:01:54.003 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-icon" at index "0"
21:01:54.003 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Image upload info icon" is visible
21:01:54.012 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
21:01:54.012 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" is visible
21:01:54.019 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
21:01:54.019 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" has text: "Tap on "Upload image" button to select file"
21:01:54.026 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
21:01:54.027 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" is visible
21:01:54.032 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
21:01:54.033 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" has text: "Recommended file size 540X300"
21:01:54.040 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-upload-button" at index "0"
21:01:54.040 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Upload image" is visible
21:01:54.046 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-empty-view-icon" at index "0"
21:01:54.046 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
21:01:54.052 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-empty-view-title-text" at index "0"
21:01:54.053 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
21:01:54.060 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-empty-view-title-text" at index "0"
21:01:54.060 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "No image selected"
21:01:54.066 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-empty-view-description-text" at index "0"
21:01:54.066 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
21:01:54.073 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-empty-view-description-text" at index "0"
21:01:54.073 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Preview of selected image will be displayed here"
21:01:54.080 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:01:54.080 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
21:01:54.091 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:01:54.091 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
21:01:54.100 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:01:54.100 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
21:01:54.106 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:01:54.106 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
21:01:54.110 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:01:54.110 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
