21:01:47.199 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:01:48.446 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:48.447 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:01:48.686 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:48.686 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:01:48.698 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:48.698 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:01:48.741 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:48.742 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:01:48.749 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:48.749 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:01:48.799 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:48.801 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:01:48.803 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:01:48.804 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:01:48.946 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
21:01:57.768 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses
21:01:59.322 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:01:59.322 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:01:59.484 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:01:59.484 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:01:59.538 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:01:59.542 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:01:59.613 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:01:59.614 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:01:59.641 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:01:59.641 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
21:01:59.672 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:01:59.673 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
21:01:59.706 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:01:59.706 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
21:01:59.728 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
21:01:59.729 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
21:01:59.748 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
21:01:59.748 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
21:01:59.767 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:01:59.767 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:01:59.787 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:01:59.787 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:01:59.825 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
21:01:59.825 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
21:01:59.845 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:01:59.845 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
21:01:59.863 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:01:59.863 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
21:01:59.885 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:01:59.885 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
21:01:59.913 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:01:59.913 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
21:01:59.936 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
21:01:59.936 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
21:01:59.970 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
21:01:59.970 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
21:01:59.991 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
21:01:59.991 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
21:02:00.028 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-icon" at index "0"
21:02:00.028 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
21:02:00.071 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
21:02:00.071 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
21:02:00.085 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
21:02:00.085 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no results"
21:02:00.108 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
21:02:00.108 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
21:02:00.127 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
21:02:00.127 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Results from the load test pipeline will be displayed here"
