21:01:41.789 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:01:42.676 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:42.676 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:01:42.966 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:42.966 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:01:42.980 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:42.980 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:01:43.034 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:43.034 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:01:43.044 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:43.045 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:01:43.085 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:43.086 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:01:43.093 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:01:43.094 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:01:43.211 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
21:01:45.055 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:01:46.360 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:01:46.360 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:01:46.695 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:01:46.695 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:01:46.727 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:01:46.727 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:01:46.763 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:01:46.763 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:01:46.781 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
