21:01:33.704 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:01:34.791 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:34.791 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:01:35.346 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:35.346 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:01:35.425 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:35.425 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:01:35.525 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:35.525 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:01:35.543 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:35.543 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:01:35.801 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:35.801 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:01:35.875 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:01:35.875 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:01:36.347 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:01:36.347 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:01:37.065 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:01:37.065 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
