21:01:15.814 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:01:18.592 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:01:18.592 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
21:01:18.855 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:01:18.855 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
21:01:18.875 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:01:18.875 | 💡 INFO     | INPUT          | Filling input "Password" with value: "  "
21:01:19.566 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:01:19.566 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "  "
21:01:19.592 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:01:19.593 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:01:19.848 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:01:19.848 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:01:19.884 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:01:19.884 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
