21:01:38.146 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:01:39.812 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:39.814 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:01:40.118 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:40.118 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:01:40.145 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:40.145 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:01:40.211 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:40.212 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:01:40.221 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:40.221 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:01:40.301 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:40.301 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:01:40.325 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:01:40.325 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:01:40.517 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:01:40.517 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:01:40.940 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:01:40.941 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
