21:01:49.378 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses
21:01:50.457 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:01:50.457 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:01:51.108 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:01:51.108 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:01:51.121 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:01:51.121 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:01:51.145 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:01:51.145 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:01:51.170 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:01:51.170 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
21:01:51.181 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:01:51.182 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
21:01:51.199 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:01:51.200 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
21:01:51.217 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
21:01:51.217 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
21:01:51.226 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
21:01:51.226 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
21:01:51.233 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:01:51.233 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:01:51.243 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:01:51.244 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:01:51.255 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
21:01:51.255 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
21:01:51.264 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:01:51.264 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
21:01:51.272 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:01:51.273 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
21:01:51.281 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:01:51.281 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
21:01:51.288 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:01:51.289 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
21:01:51.297 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
21:01:51.297 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
21:01:51.306 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
21:01:51.306 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
21:01:51.314 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
21:01:51.314 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
21:01:51.322 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-icon" at index "0"
21:01:51.322 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
21:01:51.331 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
21:01:51.331 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
21:01:51.336 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
21:01:51.337 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no results"
21:01:51.344 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
21:01:51.344 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
21:01:51.355 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
21:01:51.355 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Results from the load test pipeline will be displayed here"
