21:01:25.130 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:01:27.617 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:01:27.618 | 💡 INFO     | INPUT          | Filling input "Email" with value: "  "
21:01:28.718 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:01:28.718 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "  "
21:01:28.759 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:01:28.760 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:01:28.913 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:01:28.913 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:01:28.944 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:01:28.944 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:01:29.166 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:01:29.167 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:01:29.191 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:01:29.191 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
